1,LZ1EV,70,63,126,90.00
2,LZ2BE,62,59,118,95.16
3,LZ1KDP,56,50,100,89.29
4,LZ3ZZ,51,44,88,86.27
5,LZ1ND,46,43,86,93.48
6,LZ1KKZ,50,41,82,82.00
7,LZ1XE,39,37,74,94.87
8,LZ3FM,38,30,60,78.95
9,LZ5IL,36,29,58,80.56
10,LZ1RSS,29,26,52,89.66
11,LZ1IA,29,24,48,82.76
12,LZ2CW,26,20,40,76.92
13,LZ5EO,20,19,38,95.00
14,LZ1MC,19,18,36,94.74
15,LZ5CT,18,18,36,100.00
16,LZ1KSA,18,17,34,94.44
17,LZ1ZX,17,15,30,88.24
18,LZ2YO,15,15,30,100.00
19,LZ5O/P,14,14,28,100.00
20,LZ1PV,18,13,26,72.22
21,LZ1DQ,13,12,24,92.31
22,LZ1QZ,19,12,24,63.16
23,LZ1VVD,11,11,22,100.00
24,LZ3OB,19,10,20,52.63
25,LZ3SD,10,9,18,90.00
26,LZ1DKL,9,8,16,88.89
27,LZ2JOW,8,8,16,100.00
28,LZ1MDK,8,7,14,87.50
29,LZ1WF,7,7,14,100.00
30,LZ4UG,7,6,12,85.71
31,LZ1KCO,8,6,12,75.00
32,LZ1GG,9,6,12,66.67
33,LZ2GG,6,5,10,83.33
34,LZ1FFF,10,5,10,50.00
35,LZ3RM,5,4,8,80.00
36,LZ3PZ,6,4,8,66.67
37,LZ2KSB,4,4,8,100.00
38,LZ60KSB,4,4,8,100.00
39,LZ1ZB,3,3,6,100.00
40,LZ3BB,3,3,6,100.00
41,LZ1VDR,2,2,4,100.00
42,LZ2OQV,1,1,2,100.00
43,LZ7DX,1,1,2,100.00
